,Unnamed: 0,CODE_GENDER_M,NAME_INCOME_TYPE_Pensioner,NAME_INCOME_TYPE_State servant,NAME_INCOME_TYPE_Student,NAME_INCOME_TYPE_Working,NAME_EDUCATION_TYPE_Higher education,NAME_EDUCATION_TYPE_Incomplete higher,NAME_EDUCATION_TYPE_Lower secondary,NAME_EDUCATION_TYPE_Secondary / secondary special,NAME_FAMILY_STATUS_Married,NAME_FAMILY_STATUS_Separated,NAME_FAMILY_STATUS_Single / not married,NAME_FAMILY_STATUS_Widow,NAME_HOUSING_TYPE_House / apartment,NAME_HOUSING_TYPE_Municipal apartment,NAME_HOUSING_TYPE_Office apartment,NAME_HOUSING_TYPE_Rented apartment,NAME_HOUSING_TYPE_With parents,OCCUPATION_TYPE_Occup2,OCCUPATION_TYPE_Occup3,OCCUPATION_TYPE_Occup4,OCCUPATION_TYPE_Occup5,OCCUPATION_TYPE_Occup6,ID,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,months_in_book,Cluster
83,83,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,5100250,0,0,54000.0,-24157,365243,0,0,0,1.0,10,0
84,84,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,5100124,0,0,54000.0,-22127,365243,0,0,0,1.0,41,0
85,85,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,5090192,0,0,54000.0,-21850,365243,0,1,0,1.0,7,0
86,86,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5096559,0,0,54000.0,-14923,-4723,1,0,0,2.0,155,1
87,87,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5096560,0,0,54000.0,-14923,-4723,1,0,0,2.0,155,1
88,88,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5096561,0,0,54000.0,-14923,-4723,1,0,0,2.0,155,1
89,89,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5096562,0,0,54000.0,-14923,-4723,1,0,0,2.0,155,1
90,90,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5096564,0,0,54000.0,-14923,-4723,1,0,0,2.0,155,1
91,91,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5096566,0,0,54000.0,-14923,-4723,1,0,0,2.0,155,1
92,92,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5096567,0,0,54000.0,-14923,-4723,1,0,0,2.0,155,1
93,93,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5096568,0,0,54000.0,-14923,-4723,1,0,0,2.0,155,1
94,94,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5096569,0,0,54000.0,-14923,-4723,1,0,0,2.0,155,1
95,95,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5089306,0,0,54000.0,-14415,-1801,1,0,0,2.0,74,1
96,96,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5089307,0,0,54000.0,-14415,-1801,1,0,0,2.0,74,1
97,97,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5089308,0,0,54000.0,-14415,-1801,1,0,0,2.0,74,1
98,98,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5089309,0,0,54000.0,-14415,-1801,1,0,0,2.0,74,1
99,99,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5114460,0,0,56250.0,-21882,365243,0,0,0,2.0,97,0
100,100,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5114461,0,0,56250.0,-21882,365243,0,0,0,2.0,97,0
101,101,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5114462,0,0,56250.0,-21882,365243,0,0,0,2.0,97,0
102,102,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5090201,0,0,56250.0,-21882,365243,0,0,0,2.0,97,0
103,103,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5088625,0,0,58500.0,-16377,-2417,1,1,0,2.0,5,1
104,104,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5090239,0,0,58500.0,-22327,365243,0,0,0,2.0,47,0
105,105,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5090240,0,0,58500.0,-22327,365243,0,0,0,2.0,47,0
106,106,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5018504,0,0,58500.0,-20970,365243,0,0,0,2.0,103,0
107,107,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5018505,0,0,58500.0,-20970,365243,0,0,0,2.0,103,0
108,108,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5018506,0,0,58500.0,-20970,365243,0,0,0,2.0,103,0
109,109,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5089755,0,0,58500.0,-13769,-582,0,1,0,2.0,53,1
110,110,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5089756,0,0,58500.0,-13769,-582,0,1,0,2.0,53,1
111,111,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5089757,0,0,58500.0,-13769,-582,0,1,0,2.0,53,1
112,112,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5089758,0,0,58500.0,-13769,-582,0,1,0,2.0,53,1
113,113,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5089759,0,0,58500.0,-13769,-582,0,1,0,2.0,53,1
114,114,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5126469,0,0,60750.0,-22728,365243,0,0,0,2.0,32,0
115,115,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5126689,0,0,61875.0,-21630,365243,0,0,0,2.0,39,0
116,116,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5126690,0,0,61875.0,-21630,365243,0,0,0,2.0,39,0
117,117,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5126691,0,0,61875.0,-21630,365243,0,0,0,2.0,39,0
118,118,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5033868,0,0,63000.0,-14770,-2004,0,0,0,2.0,214,1
119,119,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5033869,0,0,63000.0,-14770,-2004,0,0,0,2.0,214,1
120,120,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5078821,0,0,63000.0,-14770,-2004,0,0,0,2.0,214,1
121,121,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5078822,0,0,63000.0,-14770,-2004,0,0,0,2.0,214,1
122,122,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5078823,0,0,63000.0,-14770,-2004,0,0,0,2.0,214,1
123,123,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5078824,0,0,63000.0,-14770,-2004,0,0,0,2.0,214,1
124,124,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5078825,0,0,63000.0,-14770,-2004,0,0,0,2.0,214,1
125,125,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5078826,0,0,63000.0,-14770,-2004,0,0,0,2.0,214,1
126,126,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5078827,0,0,63000.0,-14770,-2004,0,0,0,2.0,214,1
127,127,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5054321,0,0,63000.0,-22481,365243,0,1,0,2.0,117,0
128,128,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5054322,0,0,63000.0,-22481,365243,0,1,0,2.0,117,0
129,129,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5054325,0,0,63000.0,-22481,365243,0,1,0,2.0,117,0
130,130,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5054327,0,0,63000.0,-22481,365243,0,1,0,2.0,117,0
131,131,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5090634,0,0,63000.0,-23429,365243,0,0,0,2.0,10,0
132,132,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5024865,0,0,63000.0,-18646,-3287,1,1,0,2.0,19,1
133,133,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5105957,0,0,63000.0,-15921,-8063,1,0,0,2.0,94,1
134,134,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5105958,0,0,63000.0,-15921,-8063,1,0,0,2.0,94,1
135,135,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5105959,0,0,63000.0,-15921,-8063,1,0,0,2.0,94,1
136,136,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5148655,0,0,67500.0,-11113,-410,0,0,0,2.0,130,1
137,137,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5148656,0,0,67500.0,-11113,-410,0,0,0,2.0,130,1
138,138,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5148657,0,0,67500.0,-11113,-410,0,0,0,2.0,130,1
139,139,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,5142456,0,0,67500.0,-18952,-499,0,1,0,1.0,20,1
140,140,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,5142458,0,1,67500.0,-18952,-499,0,1,0,1.0,20,1
141,141,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,5142459,0,1,67500.0,-18952,-499,0,1,0,1.0,20,1
142,142,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5033607,0,0,67500.0,-18989,-171,0,0,0,2.0,66,1
143,143,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5033608,0,0,67500.0,-18989,-171,0,0,0,2.0,66,1
144,144,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5139329,0,0,67500.0,-9323,-1346,0,0,0,2.0,147,1
145,145,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5139330,0,0,67500.0,-9323,-1346,0,0,0,2.0,147,1
146,146,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5139331,0,0,67500.0,-9323,-1346,0,0,0,2.0,147,1
147,147,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5139332,0,0,67500.0,-9323,-1346,0,0,0,2.0,147,1
148,148,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5139333,0,0,67500.0,-9323,-1346,0,0,0,2.0,147,1
149,149,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5142754,0,0,67500.0,-17510,-1108,1,0,0,2.0,40,1
150,150,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5142755,0,0,67500.0,-17510,-1108,1,0,0,2.0,40,1
